Profile data exported by Multi Gauge

Image File : 20200812-221112-[Cy2]tif

	Lane Number
(pixel)	1	2	3	4	5	6	7	8	9	10	11
0.0000	21367.0000	23192.0000	17798.0000	17507.0000	17495.0000	17475.0000	17116.0000	16713.0000	16758.0000	16643.0000	16546.0000
1.0000	21927.0000	23572.0000	17961.0000	17563.0000	17615.0000	17594.0000	17147.0000	16793.0000	16768.0000	16668.0000	16621.0000
2.0000	22660.0000	24204.0000	18119.0000	17710.0000	17679.0000	17790.0000	17165.0000	16840.0000	16814.0000	16700.0000	16692.0000
3.0000	23842.0000	24923.0000	18443.0000	17842.0000	17882.0000	17986.0000	17280.0000	16875.0000	16813.0000	16757.0000	16689.0000
4.0000	25321.0000	26142.0000	18667.0000	18050.0000	18075.0000	18124.0000	17421.0000	16932.0000	16886.0000	16809.0000	16694.0000
5.0000	27703.0000	27893.0000	19016.0000	18262.0000	18283.0000	18379.0000	17682.0000	17095.0000	16915.0000	16866.0000	16675.0000
6.0000	30763.0000	30463.0000	19308.0000	18559.0000	18429.0000	18607.0000	17860.0000	17235.0000	17019.0000	16902.0000	16708.0000
7.0000	34842.0000	33846.0000	19785.0000	18828.0000	18685.0000	18883.0000	17970.0000	17451.0000	17155.0000	17013.0000	16798.0000
8.0000	40817.0000	38014.0000	20296.0000	19351.0000	19013.0000	19271.0000	18154.0000	17621.0000	17396.0000	17107.0000	17009.0000
9.0000	46735.0000	42808.0000	21305.0000	19919.0000	19568.0000	19763.0000	18417.0000	17720.0000	17538.0000	17277.0000	17099.0000
10.0000	53632.0000	51227.0000	22169.0000	20664.0000	20002.0000	20168.0000	18849.0000	17823.0000	17627.0000	17405.0000	17199.0000
11.0000	66153.0000	65875.0000	23459.0000	21230.0000	20484.0000	20562.0000	19187.0000	18155.0000	17716.0000	17486.0000	17258.0000
12.0000	89720.0000	87696.0000	24672.0000	22006.0000	20900.0000	20996.0000	19439.0000	18529.0000	17987.0000	17640.0000	17423.0000
13.0000	121413.0000	116480.0000	27298.0000	22841.0000	21589.0000	21763.0000	19650.0000	18888.0000	18251.0000	17924.0000	17639.0000
14.0000	158267.0000	153683.0000	30294.0000	24556.0000	22570.0000	22672.0000	19992.0000	19067.0000	18617.0000	18284.0000	17934.0000
15.0000	205616.0000	206424.0000	35898.0000	26862.0000	24015.0000	23933.0000	20694.0000	19284.0000	18748.0000	18514.0000	18114.0000
16.0000	261831.0000	294988.0000	39910.0000	29685.0000	25502.0000	24742.0000	21643.0000	19643.0000	18936.0000	18631.0000	18190.0000
17.0000	368596.0000	453830.0000	48822.0000	32346.0000	26800.0000	25044.0000	22367.0000	20353.0000	19172.0000	18906.0000	18357.0000
18.0000	536245.0000	706721.0000	60591.0000	36339.0000	27788.0000	25208.0000	22802.0000	21233.0000	19792.0000	19382.0000	18796.0000
19.0000	853380.0000	1015325.0000	87872.0000	42514.0000	29087.0000	25669.0000	22776.0000	21774.0000	20641.0000	20129.0000	19290.0000
20.0000	1163083.0000	1238488.0000	110470.0000	52863.0000	31315.0000	26289.0000	22575.0000	21775.0000	21371.0000	20734.0000	19907.0000
21.0000	1431109.0000	1330833.0000	134063.0000	62042.0000	33564.0000	26938.0000	22557.0000	21406.0000	21517.0000	21028.0000	20273.0000
22.0000	1397128.0000	1232768.0000	145761.0000	69752.0000	35258.0000	27091.0000	22662.0000	21189.0000	21386.0000	20960.0000	20283.0000
23.0000	1086661.0000	917354.0000	143463.0000	70939.0000	35931.0000	26951.0000	22796.0000	21251.0000	21026.0000	20734.0000	20092.0000
24.0000	649017.0000	572644.0000	137600.0000	66631.0000	35410.0000	26932.0000	22853.0000	21350.0000	20982.0000	20629.0000	20039.0000
25.0000	354922.0000	294523.0000	132306.0000	62359.0000	34983.0000	27489.0000	23002.0000	21572.0000	21030.0000	20810.0000	20103.0000
26.0000	188568.0000	155839.0000	139685.0000	61931.0000	35001.0000	28382.0000	23197.0000	21699.0000	21271.0000	20912.0000	20270.0000
27.0000	112489.0000	92052.0000	157814.0000	66388.0000	36343.0000	29272.0000	23734.0000	21812.0000	21356.0000	20996.0000	20374.0000
28.0000	83349.0000	70990.0000	168552.0000	71703.0000	38129.0000	29638.0000	24347.0000	22046.0000	21493.0000	21176.0000	20605.0000
29.0000	68895.0000	55477.0000	165352.0000	73074.0000	38926.0000	29605.0000	24731.0000	22708.0000	21693.0000	21454.0000	20764.0000
30.0000	55057.0000	45650.0000	153572.0000	69719.0000	38517.0000	29759.0000	24890.0000	23315.0000	22301.0000	21899.0000	21113.0000
31.0000	44114.0000	37876.0000	139602.0000	65702.0000	38259.0000	30790.0000	25051.0000	23539.0000	22849.0000	22434.0000	21635.0000
32.0000	37626.0000	33689.0000	136264.0000	64257.0000	38906.0000	32336.0000	25533.0000	23572.0000	23183.0000	22819.0000	22027.0000
33.0000	35043.0000	31114.0000	146409.0000	66527.0000	40632.0000	33960.0000	26527.0000	23710.0000	23245.0000	22996.0000	22191.0000
34.0000	33510.0000	29683.0000	161664.0000	75548.0000	43442.0000	34706.0000	27786.0000	24359.0000	23425.0000	23038.0000	22426.0000
35.0000	31761.0000	27637.0000	176535.0000	82819.0000	45978.0000	34134.0000	28620.0000	25577.0000	23899.0000	23446.0000	22828.0000
36.0000	29267.0000	25855.0000	170387.0000	84008.0000	45667.0000	32646.0000	28697.0000	26641.0000	24753.0000	24472.0000	23498.0000
37.0000	27018.0000	24826.0000	147130.0000	77241.0000	44358.0000	31509.0000	28037.0000	27015.0000	25941.0000	25725.0000	24416.0000
38.0000	26466.0000	24684.0000	131785.0000	70192.0000	42297.0000	31530.0000	26858.0000	26533.0000	26791.0000	26402.0000	25142.0000
39.0000	26841.0000	24919.0000	129583.0000	69482.0000	41307.0000	32694.0000	26274.0000	25499.0000	26611.0000	26430.0000	25117.0000
40.0000	27344.0000	25095.0000	135758.0000	74092.0000	43946.0000	33790.0000	26276.0000	24567.0000	25868.0000	25678.0000	24570.0000
41.0000	27574.0000	24730.0000	156300.0000	83471.0000	45936.0000	34581.0000	26858.0000	24424.0000	24551.0000	24637.0000	23702.0000
42.0000	26818.0000	24022.0000	165873.0000	92153.0000	48851.0000	34132.0000	27199.0000	24920.0000	24165.0000	24136.0000	23393.0000
43.0000	25482.0000	23056.0000	165777.0000	94198.0000	49906.0000	32902.0000	27217.0000	25509.0000	24505.0000	24337.0000	23559.0000
44.0000	24530.0000	22610.0000	151089.0000	88987.0000	48103.0000	31849.0000	26680.0000	25743.0000	25236.0000	24998.0000	24002.0000
45.0000	24476.0000	22767.0000	126200.0000	80340.0000	46236.0000	31463.0000	25905.0000	25493.0000	25607.0000	25412.0000	24292.0000
46.0000	25290.0000	23476.0000	116519.0000	76125.0000	44358.0000	32534.0000	25413.0000	24708.0000	25519.0000	25249.0000	24253.0000
47.0000	26546.0000	23906.0000	125046.0000	77313.0000	45402.0000	35113.0000	25493.0000	23863.0000	24715.0000	24593.0000	23770.0000
48.0000	27029.0000	23909.0000	137732.0000	89634.0000	50106.0000	36839.0000	26129.0000	23706.0000	24111.0000	23940.0000	23245.0000
49.0000	26870.0000	23317.0000	154784.0000	102508.0000	54488.0000	37253.0000	26897.0000	24353.0000	23629.0000	23573.0000	22943.0000
50.0000	25730.0000	22710.0000	156648.0000	108520.0000	57009.0000	36009.0000	27099.0000	24965.0000	23814.0000	23739.0000	23229.0000
51.0000	24438.0000	21856.0000	147663.0000	105920.0000	56420.0000	33931.0000	26711.0000	25363.0000	24633.0000	24547.0000	23837.0000
52.0000	23545.0000	21621.0000	128316.0000	92897.0000	51681.0000	32991.0000	25782.0000	25112.0000	25266.0000	25175.0000	24291.0000
53.0000	23584.0000	21965.0000	108314.0000	83420.0000	49774.0000	33061.0000	25089.0000	24362.0000	25259.0000	25203.0000	24240.0000
54.0000	24387.0000	22684.0000	100400.0000	79645.0000	47794.0000	34536.0000	24779.0000	23487.0000	24796.0000	24547.0000	23725.0000
55.0000	25620.0000	23112.0000	108920.0000	81020.0000	48957.0000	37992.0000	25058.0000	23088.0000	23831.0000	23613.0000	22816.0000
56.0000	25947.0000	23030.0000	122048.0000	97913.0000	55819.0000	40570.0000	25917.0000	23227.0000	23274.0000	22988.0000	22363.0000
57.0000	25668.0000	22323.0000	139553.0000	113578.0000	63119.0000	41756.0000	27005.0000	24172.0000	23045.0000	22977.0000	22355.0000
58.0000	24567.0000	21465.0000	139491.0000	121537.0000	67036.0000	40405.0000	27383.0000	24862.0000	23502.0000	23609.0000	22917.0000
59.0000	23273.0000	20743.0000	127323.0000	116481.0000	65843.0000	37435.0000	26980.0000	25362.0000	24488.0000	24540.0000	23717.0000
60.0000	22363.0000	20597.0000	111767.0000	100273.0000	58916.0000	35703.0000	25856.0000	25057.0000	25213.0000	25057.0000	24320.0000
61.0000	22281.0000	20768.0000	93463.0000	87966.0000	55812.0000	35476.0000	25070.0000	24068.0000	25094.0000	25084.0000	24277.0000
62.0000	22877.0000	21483.0000	84622.0000	80692.0000	52752.0000	36872.0000	24661.0000	23053.0000	24411.0000	24316.0000	23627.0000
63.0000	24345.0000	22177.0000	88207.0000	81119.0000	53218.0000	41490.0000	24929.0000	22626.0000	23191.0000	23211.0000	22507.0000
64.0000	25086.0000	22464.0000	97740.0000	93670.0000	60766.0000	45112.0000	25657.0000	22806.0000	22656.0000	22540.0000	22071.0000
65.0000	25106.0000	22027.0000	115785.0000	112891.0000	68429.0000	48543.0000	26971.0000	23594.0000	22492.0000	22510.0000	22123.0000
